hash|author|date|commit message
6517312|Jacob Costen|2024-10-22|compelted JSON reduce function
c1039a4|Jacob Costen|2024-10-22|began work on JSON parser and scene file structure
3f4c8b1|Jacob Costen|2024-10-22|enabled post processing including access to colour, normal, depth buffers
78e3923|Jacob Costen|2024-10-22|worked on getting normal mapping working
9bab548|Jacob Costen|2024-10-22|fixed a problem where meshes were flipped in the X direction
3e8a0e3|Jacob Costen|2024-10-21|attempted to get a post processing shader working
5beedba|Jacob Costen|2024-10-21|re-implemented light passthrough for new shader system
7b4f7a5|Jacob Costen|2024-10-19|updated something about the project
b8dad8c|Jacob Costen|2024-10-19|removed old deprecated mesh files
d9e48b7|Jacob Costen|2024-10-19|implemented system for reading arbitrary shaders, and materials, and managing them as resources
4b44670|Jacob Costen|2024-10-18|developed a resource manager which manages resources
20c001e|Jacob Costen|2024-10-17|worked more on tangent calculation and normal mapping
8cd5a01|Jacob Costen|2024-10-17|wrote prototype tangent calculation function
efa48a1|Jacob Costen|2024-10-16|fixed specular shading issue, added texture support, improved material/shader system
c0c0ad8|Jacob Costen|2024-10-15|fixed more compiler warnings
bc405a9|Jacob Costen|2024-10-15|experimented with adding framerate limiting code
1353351|Jacob Costen|2024-10-15|attempted to solve the flickering issue
2b00ad1|Jacob Costen|2024-10-15|began to write code for supporting swapping shaders
b136e49|Jacob Costen|2024-10-15|added a teapot to the demo scene
1f8954d|Jacob Costen|2024-10-15|wrote a shiny new OBJ loader which supports vertex splitting to preserve smoothing groups
5497cfa|Jacob Costen|2024-10-15|fixed various compiler warnings relating to casts and unused parameters
77d0b65|Jacob Costen|2024-10-15|cleaned up mesh data representation
4426ada|Jacob Costen|2024-10-15|implemented phong shading
8d6f456|Jacob Costen|2024-10-14|model loading now works using my own library
b360493|Jacob Costen|2024-10-09|experimented with the shader and added an icosahedron
136d0d3|Jacob Costen|2024-10-08|fixed a bug where the camera aspect ratio would not be correct
5e9a415|Jacob Costen|2024-10-08|fixed a bug where nothing would render due to incorrect buffer sizing
d2967f3|Jacob Costen|2024-10-08|added mesh-object system
966f202|Jacob Costen|2024-10-07|changes
bb5be83|Jacob Costen|2024-10-05|camera controls are now relative to facing direciton
ad284d0|Jacob Costen|2024-10-05|corrected a bug where the view transform was being applied inversely
33a2f45|Jacob Costen|2024-10-02|rewrote camera system
77702d4|Jacob Costen|2024-10-02|started adding FCamera
e497434|Jacob Costen|2024-10-02|restructured FScene and improved solar system
9658987|Jacob Costen|2024-10-02|Merge branch 'master' of https://github.com/StaffsUniGames/gdev50038-artefact-oculometric
ec24e0e|Jacob Costen|2024-10-02|actually enabled the depth buffer for real (reference was missing)
d5edfd6|Jacob Costen|2024-10-02|fully implemented transform and parent functions in scene tree, enabled depth buffer
60f7467|Jacob Costen|2024-10-02|created a scene tree
8faddd4|Jacob Costen|2024-10-02|add ability to move cube
97a9374|Jacob Costen|2024-10-01|Update README.md
9c03d05|Jacob Costen|2024-10-01|added sample models
0549dd0|Jacob Costen|2024-10-01|refactored naming convention, implemented ability to rotate cube
8ddaef8|Jacob Costen|2024-10-01|added cube and debug rasteriser state
0b5c4be|github-classroom[bot]|2024-08-27|Initial commit
